"","country","year","urban_pop_percent","urban_growth","rural_growth","cap_city_pop","cap_percent_pop","cap_percent_urban","fertility_rate","infant_morality_per_thousand","life_exp","gender_ratio_lifeexp","continent","region","capital_pop","capital_pop_sign","capital_pop1","sign"
"1","Afghanistan","2005",22.7,5,4.3,"2,905",11.6,51,NA,NA,NA,NA,"Asia","Southern Asia",NA,"0",1,"1"
"2","Afghanistan","2010",23.7,3.7,2.5,"3,289",11.4,48.1,6.1,64.8,60.9,0.950320512820513,"Asia","Southern Asia",NA,"0",1,"1"
"3","Afghanistan","2015",24.8,4,2.9,"3,724",11,44.5,5.4,54.5,62.7,0.941176470588235,"Asia","Southern Asia",NA,"0",1,"1"
"4","Afghanistan","2018",25.5,NA,NA,"4,012",NA,NA,5.1,49.4,63,0.909228441754917,"Asia","Southern Asia",NA,"0",1,"missing"
"5","Albania","2005",46.7,2,-2.1,"372",12.1,25.8,NA,NA,NA,NA,"Europe","Southern Europe",372,"1",372,"0"
"6","Albania","2010",52.2,1.3,-3.1,"409",13.9,26.6,1.7,11.9,77.9,0.935563816604709,"Europe","Southern Europe",409,"1",409,"0"
"7","Albania","2015",57.4,1.8,-2.5,"449",15.4,26.8,1.6,8.6,78.6,0.940886699507389,"Europe","Southern Europe",449,"1",449,"0"
"8","Albania","2018",60.3,NA,NA,"476",NA,NA,1.5,8.4,79,0.943558282208589,"Europe","Southern Europe",476,"1",476,"missing"
"9","Algeria","2005",63.8,2.6,-0.7,"2,282",6.9,10.7,NA,NA,NA,NA,"Africa","Northern Africa",NA,"0",1,"0"
"10","Algeria","2010",67.5,2.8,-0.5,"2,432",6.7,10,2.8,23,73.8,0.97196261682243,"Africa","Northern Africa",NA,"0",1,"0"
"11","Algeria","2015",70.8,2.9,-0.2,"2,592",6.5,9.2,3,21.2,75.6,0.970052083333333,"Africa","Northern Africa",NA,"0",1,"0"
"12","Algeria","2018",72.6,NA,NA,"2,694",NA,NA,3.1,20.5,75.7,0.97265625,"Africa","Northern Africa",NA,"0",1,"missing"
"13","American Samoa","2005",88.1,0.4,1.4,NA,NA,NA,NA,NA,NA,NA,"Oceania","Polynesia",NA,"0",1,"1"
"14","American Samoa","2010",87.6,-1.3,-0.4,NA,NA,NA,3.3,8,72.1,0.942126514131898,"Oceania","Polynesia",NA,"0",1,"0"
"15","American Samoa","2015",87.2,-0.1,0.5,NA,NA,NA,2.7,7.4,72.5,0.939839572192513,"Oceania","Polynesia",NA,"0",1,"1"
"16","American Samoa","2018",87.2,NA,NA,"49",NA,NA,NA,NA,NA,NA,"Oceania","Polynesia",49,"1",49,"missing"
"17","Andorra","2005",90.3,3.3,8.6,NA,NA,NA,NA,NA,NA,NA,"Europe","Southern Europe",NA,"0",1,"1"
"18","Andorra","2010",88.8,1,4.2,NA,NA,NA,1.4,6,82.8,0.942622950819672,"Europe","Southern Europe",NA,"0",1,"1"
"19","Andorra","2015",88.3,-1.7,-0.8,NA,NA,NA,1.4,6,83,0.943793911007026,"Europe","Southern Europe",NA,"0",1,"0"
"20","Andorra","2018",88.1,NA,NA,"23",NA,NA,NA,NA,NA,NA,"Europe","Southern Europe",23,"1",23,"missing"
"21","Angola","2005",56,5.7,0.9,"3,872",19.8,35.4,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"22","Angola","2010",59.8,4.9,1.8,"5,300",22.7,37.9,6.2,77.2,56.7,0.922033898305085,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"23","Angola","2015",63.4,4.7,1.6,"7,023",25.2,39.7,5.8,59.4,60.7,0.922345483359746,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"24","Angola","2018",65.5,NA,NA,"7,774",NA,NA,5.6,54.9,61.7,0.9265625,"Africa","Sub-Saharan Africa",NA,"0",1,"missing"
"25","Anguilla","2005",100,2.6,0,NA,NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"26","Anguilla","2010",100,1.7,0,NA,NA,NA,1.7,7.6,77.7,0.917487684729064,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"27","Anguilla","2015",100,1.2,0,NA,NA,NA,1.4,7.3,77.1,0.912128712871287,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"28","Anguilla","2018",100,NA,NA,"1",NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",1,"1",1,"missing"
"29","Antigua and Barbuda","2005",29.2,-0.6,2.2,NA,NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"30","Antigua and Barbuda","2010",26.2,-1,2,NA,NA,NA,1.8,8.2,76.8,0.931989924433249,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"31","Antigua and Barbuda","2015",25,0.1,1.4,NA,NA,NA,1.6,6.3,77.9,0.93407960199005,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"32","Antigua and Barbuda","2018",24.6,NA,NA,"21",NA,NA,1.5,5.8,78.3,0.935563816604709,"Americas","Latin America and the Caribbean",21,"1",21,"missing"
"33","Argentina","2005",90,1.3,-0.6,"13,330",34.1,37.8,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"34","Argentina","2010",90.8,1.2,-0.7,"14,246",34.6,38,2.3,13.1,75.7,0.92005076142132,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"35","Argentina","2015",91.5,1.2,-0.4,"14,706",33.9,37,2.3,11.1,76.8,0.913965087281795,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"36","Argentina","2018",91.9,NA,NA,"14,967",NA,NA,2.2,10.4,76.8,0.917602996254682,"Americas","Latin America and the Caribbean",NA,"0",1,"missing"
"37","Armenia","2005",63.9,-0.8,-0.2,"1,087",36.5,57,NA,NA,NA,NA,"Asia","Western Asia",NA,"0",1,"0"
"38","Armenia","2010",63.4,-0.9,-0.4,"1,066",37,58.4,1.5,16.3,73.2,0.886304909560723,"Asia","Western Asia",NA,"0",1,"0"
"39","Armenia","2015",63.1,0.2,0.5,"1,071",36.7,58.2,1.6,12.6,74.4,0.883248730964467,"Asia","Western Asia",NA,"0",1,"1"
"40","Armenia","2018",63.1,NA,NA,"1,080",NA,NA,1.6,11.4,74.9,0.880352644836272,"Asia","Western Asia",NA,"0",1,"missing"
"41","Aruba","2005",44.9,1.1,2.6,NA,NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"42","Aruba","2010",43.1,-0.5,1,NA,NA,NA,1.9,15.5,75.4,0.917302798982188,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"43","Aruba","2015",43.1,0.5,0.5,NA,NA,NA,2,14.2,75.7,0.923664122137405,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"44","Aruba","2018",43.4,NA,NA,"30",NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",30,"1",30,"missing"
"45","Australia","2005",84.6,1.3,0.7,"366",1.8,2.1,NA,NA,NA,NA,"Oceania","Australia and New Zealand",366,"1",366,"1"
